table_schema,table_name,column_name,ordinal_position,data_type,is_nullable,column_default,character_maximum_length,numeric_precision,numeric_scale
public,acceptance,id,1,bigint,NO,nextval('acceptance_id_seq'::regclass),,64.0,0.0
public,acceptance,name,2,character varying,NO,,255.0,,
public,acceptance,created_on,3,timestamp without time zone,YES,,,,
public,acceptance,category,4,character varying,YES,,255.0,,
public,acceptance,start_date,5,timestamp without time zone,YES,,,,
public,acceptance,end_date,6,timestamp without time zone,YES,,,,
public,acceptance,result,7,character varying,YES,,255.0,,
public,acceptance,deadline,8,timestamp without time zone,YES,,,,
public,acceptance,location,9,character varying,YES,,255.0,,
public,acceptance,created_by_id,10,bigint,YES,,,64.0,0.0
public,acceptance,company_id,11,bigint,YES,,,64.0,0.0
public,acceptance,system_id,12,bigint,NO,,,64.0,0.0
public,acceptance,technical_system_id,13,bigint,YES,,,64.0,0.0
public,acceptance,floor_id,14,bigint,YES,,,64.0,0.0
public,acceptance,task_id,15,bigint,YES,,,64.0,0.0
public,acceptance,created_by_user,16,character varying,YES,,50.0,,
public,acceptance,created_date,17,timestamp without time zone,YES,now(),,,
public,acceptance,last_modified_by,18,character varying,YES,,50.0,,
public,acceptance,last_modified_date,19,timestamp without time zone,YES,,,,
public,acceptance,jhi_version,20,bigint,YES,,,64.0,0.0
public,acceptance,description_txt,21,text,YES,,,,
public,acceptance,comment_txt,22,text,YES,,,,
public,acceptance,sub_project_id,23,bigint,YES,,,64.0,0.0
public,ai_chat,id,1,bigint,NO,,,64.0,0.0
public,ai_chat,name,2,character varying,NO,,255.0,,
public,ai_chat,guid,3,character varying,NO,,255.0,,
public,ai_chat,is_favorite,4,boolean,NO,false,,,
public,ai_chat,owning_facility_id,5,bigint,NO,,,64.0,0.0
public,ai_chat,created_by_user,6,character varying,YES,,50.0,,
public,ai_chat,created_date,7,timestamp without time zone,YES,now(),,,
public,ai_chat,last_modified_by,8,character varying,YES,,50.0,,
public,ai_chat,last_modified_date,9,timestamp without time zone,YES,,,,
public,ai_chat_reaction,id,1,bigint,NO,,,64.0,0.0
public,ai_chat_reaction,is_thumb_up,2,boolean,NO,false,,,
public,ai_chat_reaction,timestamp_identifier,3,character varying,NO,,255.0,,
public,ai_chat_reaction,ai_chat_id,4,bigint,NO,,,64.0,0.0
public,ai_chat_reaction,created_by_user,5,character varying,YES,,50.0,,
public,ai_chat_reaction,created_date,6,timestamp without time zone,YES,now(),,,
public,ai_chat_reaction,last_modified_by,7,character varying,YES,,50.0,,
public,ai_chat_reaction,last_modified_date,8,timestamp without time zone,YES,,,,
public,alert,id,1,bigint,NO,nextval('alert_id_seq'::regclass),,64.0,0.0
public,alert,reason,2,character varying,NO,,255.0,,
public,alert,category,3,character varying,YES,,255.0,,
public,alert,technical_id,4,character varying,YES,,255.0,,
public,alert,description,5,character varying,YES,,255.0,,
public,alert,status,6,character varying,YES,,255.0,,
public,alert,is_archived,7,boolean,NO,false,,,
public,alert,is_technical,8,boolean,NO,false,,,
public,alert,contact_mail,9,character varying,YES,,255.0,,
public,alert,contact_surname,10,character varying,YES,,255.0,,
public,alert,contact_name,11,character varying,YES,,255.0,,
public,alert,contact_phone,12,character varying,YES,,255.0,,
public,alert,image_guid,13,character varying,YES,,255.0,,
public,alert,task_id,14,bigint,YES,,,64.0,0.0
public,alert,priority_id,15,bigint,YES,,,64.0,0.0
public,alert,facility_id,16,bigint,YES,,,64.0,0.0
public,alert,floor_id,17,bigint,YES,,,64.0,0.0
public,alert,space_id,18,bigint,YES,,,64.0,0.0
public,alert,component_id,19,bigint,YES,,,64.0,0.0
public,alert,technical_system_id,20,bigint,YES,,,64.0,0.0
public,alert,project_id,21,bigint,NO,,,64.0,0.0
public,alert,created_by_user,22,character varying,YES,,50.0,,
public,alert,created_date,23,timestamp without time zone,YES,now(),,,
public,alert,last_modified_by,24,character varying,YES,,50.0,,
public,alert,last_modified_date,25,timestamp without time zone,YES,,,,
public,alert_log_entry,id,1,bigint,NO,nextval('alert_log_entry_id_seq'::regclass),,64.0,0.0
public,alert_log_entry,status,2,character varying,NO,,255.0,,
public,alert_log_entry,jhi_time,3,timestamp without time zone,NO,,,,
public,alert_log_entry,editor,4,character varying,NO,,255.0,,
public,alert_log_entry,note,5,character varying,YES,,255.0,,
public,alert_log_entry,alert_id,6,bigint,NO,,,64.0,0.0
public,alert_priority,id,1,bigint,NO,nextval('alert_priority_id_seq'::regclass),,64.0,0.0
public,alert_priority,name,2,character varying,NO,,255.0,,
public,alert_priority,jhi_value,3,integer,NO,,,32.0,0.0
public,alert_priority,reaction_time,4,bigint,YES,,,64.0,0.0
public,alert_priority,intervention_time,5,bigint,YES,,,64.0,0.0
public,alert_priority,editing_time,6,bigint,YES,,,64.0,0.0
public,alert_priority,completion_time,7,bigint,YES,,,64.0,0.0
public,alert_priority,reaction_time_holiday,8,bigint,YES,,,64.0,0.0
public,alert_priority,intervention_time_holiday,9,bigint,YES,,,64.0,0.0
public,alert_priority,editing_time_holiday,10,bigint,YES,,,64.0,0.0
public,alert_priority,completion_time_holiday,11,bigint,YES,,,64.0,0.0
public,alert_priority,is_sla_relevant,12,boolean,NO,true,,,
public,alert_priority,project_id,13,bigint,NO,,,64.0,0.0
public,alert_priority,created_by_user,14,character varying,YES,,50.0,,
public,alert_priority,created_date,15,timestamp without time zone,YES,now(),,,
public,alert_priority,last_modified_by,16,character varying,YES,,50.0,,
public,alert_priority,last_modified_date,17,timestamp without time zone,YES,,,,
public,alert_priority_aud,id,1,bigint,NO,,,64.0,0.0
public,alert_priority_aud,name,2,character varying,YES,,255.0,,
public,alert_priority_aud,jhi_value,3,integer,YES,,,32.0,0.0
public,alert_priority_aud,reaction_time,4,bigint,YES,,,64.0,0.0
public,alert_priority_aud,intervention_time,5,bigint,YES,,,64.0,0.0
public,alert_priority_aud,editing_time,6,bigint,YES,,,64.0,0.0
public,alert_priority_aud,completion_time,7,bigint,YES,,,64.0,0.0
public,alert_priority_aud,reaction_time_holiday,8,bigint,YES,,,64.0,0.0
public,alert_priority_aud,intervention_time_holiday,9,bigint,YES,,,64.0,0.0
public,alert_priority_aud,editing_time_holiday,10,bigint,YES,,,64.0,0.0
public,alert_priority_aud,completion_time_holiday,11,bigint,YES,,,64.0,0.0
public,alert_priority_aud,is_sla_relevant,12,boolean,YES,true,,,
public,alert_priority_aud,project_id,13,bigint,YES,,,64.0,0.0
public,alert_priority_aud,rev,14,bigint,NO,,,64.0,0.0
public,alert_priority_aud,revend,15,bigint,YES,,,64.0,0.0
public,alert_priority_aud,revtype,16,smallint,NO,,,16.0,0.0
public,alert_priority_aud,created_by_user,17,character varying,YES,,50.0,,
public,alert_priority_aud,created_date,18,timestamp without time zone,YES,now(),,,
public,alert_priority_aud,last_modified_by,19,character varying,YES,,50.0,,
public,alert_priority_aud,last_modified_date,20,timestamp without time zone,YES,,,,
public,api_key,id,1,bigint,NO,,,64.0,0.0
public,api_key,description,2,character varying,YES,,255.0,,
public,api_key,x_api_key,3,character varying,NO,,30.0,,
public,api_key,id_token,4,character varying,NO,,510.0,,
public,api_key,user_id,5,bigint,YES,,,64.0,0.0
public,api_key,is_active,6,boolean,NO,,,,
public,api_key,created_by_user,7,character varying,YES,,50.0,,
public,api_key,created_date,8,timestamp without time zone,YES,now(),,,
public,api_key,last_modified_by,9,character varying,YES,,50.0,,
public,api_key,last_modified_date,10,timestamp without time zone,YES,,,,
public,asset_component,id,1,bigint,NO,,,64.0,0.0
public,asset_component,name,2,character varying,NO,,255.0,,
public,asset_component,created_on,3,timestamp without time zone,YES,,,,
public,asset_component,ext_system,4,character varying,YES,,255.0,,
public,asset_component,ext_object,5,character varying,YES,,255.0,,
public,asset_component,ext_identifier,6,character varying,YES,,255.0,,
public,asset_component,category,7,character varying,YES,,255.0,,
public,asset_component,serial_number,8,character varying,YES,,255.0,,
public,asset_component,installation_date,9,date,YES,,,,
public,asset_component,warranty_start_date,10,date,YES,,,,
public,asset_component,asset_identifier,11,character varying,YES,,255.0,,
public,asset_component,bar_code,12,character varying,YES,,255.0,,
public,asset_component,tag_number,13,character varying,YES,,255.0,,
public,asset_component,image_guid,14,character varying,YES,,255.0,,
public,asset_component,type_id,15,bigint,YES,,,64.0,0.0
public,asset_component,owning_facility_id,16,bigint,NO,,,64.0,0.0
public,asset_component,created_by_id,17,bigint,YES,,,64.0,0.0
public,asset_component,ifc_reference,18,character varying,YES,,255.0,,
public,asset_component,created_by_user,19,character varying,YES,,50.0,,
public,asset_component,created_date,20,timestamp without time zone,YES,now(),,,
public,asset_component,last_modified_by,21,character varying,YES,,50.0,,
public,asset_component,last_modified_date,22,timestamp without time zone,YES,,,,
public,asset_component,jhi_version,23,bigint,YES,,,64.0,0.0
public,asset_component,system_id,24,bigint,YES,,,64.0,0.0
public,asset_component,predefined_type,25,character varying,YES,,255.0,,
public,asset_component,model_id,26,bigint,YES,,,64.0,0.0
public,asset_component,description_txt,27,text,YES,,,,
public,asset_component,operating_status,28,character varying,NO,'BUILT_IN'::character varying,255.0,,
public,asset_component_assembly,id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly,name,2,character varying,NO,,255.0,,
public,asset_component_assembly,created_on,3,timestamp without time zone,YES,,,,
public,asset_component_assembly,assembly_type,4,character varying,YES,,255.0,,
public,asset_component_assembly,ext_system,5,character varying,YES,,255.0,,
public,asset_component_assembly,ext_object,6,character varying,YES,,255.0,,
public,asset_component_assembly,ext_identifier,7,character varying,YES,,255.0,,
public,asset_component_assembly,image_guid,8,character varying,YES,,255.0,,
public,asset_component_assembly,owning_facility_id,9,bigint,NO,,,64.0,0.0
public,asset_component_assembly,created_by_id,10,bigint,YES,,,64.0,0.0
public,asset_component_assembly,parent_id,11,bigint,YES,,,64.0,0.0
public,asset_component_assembly,ifc_reference,12,character varying,YES,,255.0,,
public,asset_component_assembly,created_by_user,13,character varying,YES,,50.0,,
public,asset_component_assembly,created_date,14,timestamp without time zone,YES,now(),,,
public,asset_component_assembly,last_modified_by,15,character varying,YES,,50.0,,
public,asset_component_assembly,last_modified_date,16,timestamp without time zone,YES,,,,
public,asset_component_assembly,jhi_version,17,bigint,YES,,,64.0,0.0
public,asset_component_assembly,system_id,18,bigint,YES,,,64.0,0.0
public,asset_component_assembly,predefined_type,19,character varying,YES,,255.0,,
public,asset_component_assembly,model_id,20,bigint,YES,,,64.0,0.0
public,asset_component_assembly,description_txt,21,text,YES,,,,
public,asset_component_assembly_attributes,attributes_id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_attributes,asset_component_assemblies_id,2,bigint,NO,,,64.0,0.0
public,asset_component_assembly_attributes_aud,asset_component_assemblies_id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_attributes_aud,attributes_id,2,bigint,NO,,,64.0,0.0
public,asset_component_assembly_attributes_aud,rev,3,bigint,NO,,,64.0,0.0
public,asset_component_assembly_attributes_aud,revend,4,bigint,YES,,,64.0,0.0
public,asset_component_assembly_attributes_aud,revtype,5,smallint,YES,,,16.0,0.0
public,asset_component_assembly_aud,id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_aud,name,2,character varying,YES,,255.0,,
public,asset_component_assembly_aud,created_on,3,timestamp without time zone,YES,,,,
public,asset_component_assembly_aud,assembly_type,4,character varying,YES,,255.0,,
public,asset_component_assembly_aud,ext_system,5,character varying,YES,,255.0,,
public,asset_component_assembly_aud,ext_object,6,character varying,YES,,255.0,,
public,asset_component_assembly_aud,ext_identifier,7,character varying,YES,,255.0,,
public,asset_component_assembly_aud,image_guid,8,character varying,YES,,255.0,,
public,asset_component_assembly_aud,ifc_reference,9,character varying,YES,,255.0,,
public,asset_component_assembly_aud,owning_facility_id,10,bigint,YES,,,64.0,0.0
public,asset_component_assembly_aud,created_by_id,11,bigint,YES,,,64.0,0.0
public,asset_component_assembly_aud,parent_id,12,bigint,YES,,,64.0,0.0
public,asset_component_assembly_aud,rev,13,bigint,NO,,,64.0,0.0
public,asset_component_assembly_aud,revend,14,bigint,YES,,,64.0,0.0
public,asset_component_assembly_aud,revtype,15,smallint,NO,,,16.0,0.0
public,asset_component_assembly_aud,created_by_user,16,character varying,YES,,50.0,,
public,asset_component_assembly_aud,created_date,17,timestamp without time zone,YES,now(),,,
public,asset_component_assembly_aud,last_modified_by,18,character varying,YES,,50.0,,
public,asset_component_assembly_aud,last_modified_date,19,timestamp without time zone,YES,,,,
public,asset_component_assembly_aud,system_id,20,bigint,YES,,,64.0,0.0
public,asset_component_assembly_aud,predefined_type,21,character varying,YES,,255.0,,
public,asset_component_assembly_aud,description_txt,22,text,YES,,,,
public,asset_component_assembly_components,components_id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_components,asset_component_assemblies_id,2,bigint,NO,,,64.0,0.0
public,asset_component_assembly_components_aud,asset_component_assemblies_id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_components_aud,components_id,2,bigint,NO,,,64.0,0.0
public,asset_component_assembly_components_aud,rev,3,bigint,NO,,,64.0,0.0
public,asset_component_assembly_components_aud,revend,4,bigint,YES,,,64.0,0.0
public,asset_component_assembly_components_aud,revtype,5,smallint,YES,,,16.0,0.0
public,asset_component_assembly_documents,documents_id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_documents,asset_component_assemblies_id,2,bigint,NO,,,64.0,0.0
public,asset_component_assembly_documents_aud,asset_component_assemblies_id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_documents_aud,documents_id,2,bigint,NO,,,64.0,0.0
public,asset_component_assembly_documents_aud,rev,3,bigint,NO,,,64.0,0.0
public,asset_component_assembly_documents_aud,revend,4,bigint,YES,,,64.0,0.0
public,asset_component_assembly_documents_aud,revtype,5,smallint,YES,,,16.0,0.0
public,asset_component_assembly_impacts,impacts_id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_impacts,asset_component_assemblies_id,2,bigint,NO,,,64.0,0.0
public,asset_component_assembly_impacts_aud,asset_component_assemblies_id,1,bigint,NO,,,64.0,0.0
public,asset_component_assembly_impacts_aud,impacts_id,2,bigint,NO,,,64.0,0.0
public,asset_component_assembly_impacts_aud,rev,3,bigint,NO,,,64.0,0.0
public,asset_component_assembly_impacts_aud,revend,4,bigint,YES,,,64.0,0.0
public,asset_component_assembly_impacts_aud,revtype,5,smallint,YES,,,16.0,0.0
public,asset_component_attributes,attributes_id,1,bigint,NO,,,64.0,0.0
public,asset_component_attributes,asset_components_id,2,bigint,NO,,,64.0,0.0
public,asset_component_attributes_aud,asset_components_id,1,bigint,NO,,,64.0,0.0
public,asset_component_attributes_aud,attributes_id,2,bigint,NO,,,64.0,0.0
public,asset_component_attributes_aud,rev,3,bigint,NO,,,64.0,0.0
public,asset_component_attributes_aud,revend,4,bigint,YES,,,64.0,0.0
public,asset_component_attributes_aud,revtype,5,smallint,YES,,,16.0,0.0
public,asset_component_aud,id,1,bigint,NO,,,64.0,0.0
public,asset_component_aud,name,2,character varying,YES,,255.0,,
public,asset_component_aud,created_on,3,timestamp without time zone,YES,,,,
public,asset_component_aud,ext_system,4,character varying,YES,,255.0,,
public,asset_component_aud,ext_object,5,character varying,YES,,255.0,,
public,asset_component_aud,ext_identifier,6,character varying,YES,,255.0,,
public,asset_component_aud,category,7,character varying,YES,,255.0,,
public,asset_component_aud,serial_number,8,character varying,YES,,255.0,,
public,asset_component_aud,installation_date,9,date,YES,,,,
public,asset_component_aud,warranty_start_date,10,date,YES,,,,
public,asset_component_aud,asset_identifier,11,character varying,YES,,255.0,,
public,asset_component_aud,bar_code,12,character varying,YES,,255.0,,
public,asset_component_aud,tag_number,13,character varying,YES,,255.0,,
public,asset_component_aud,ifc_reference,14,character varying,YES,,255.0,,
public,asset_component_aud,image_guid,15,character varying,YES,,255.0,,
public,asset_component_aud,type_id,16,bigint,YES,,,64.0,0.0
public,asset_component_aud,owning_facility_id,17,bigint,YES,,,64.0,0.0
public,asset_component_aud,created_by_id,18,bigint,YES,,,64.0,0.0
public,asset_component_aud,rev,19,bigint,NO,,,64.0,0.0
public,asset_component_aud,revend,20,bigint,YES,,,64.0,0.0
public,asset_component_aud,revtype,21,smallint,NO,,,16.0,0.0
public,asset_component_aud,created_by_user,22,character varying,YES,,50.0,,
public,asset_component_aud,created_date,23,timestamp without time zone,YES,now(),,,
public,asset_component_aud,last_modified_by,24,character varying,YES,,50.0,,
public,asset_component_aud,last_modified_date,25,timestamp without time zone,YES,,,,
public,asset_component_aud,system_id,26,bigint,YES,,,64.0,0.0
public,asset_component_aud,predefined_type,27,character varying,YES,,255.0,,
public,asset_component_aud,description_txt,28,text,YES,,,,
public,asset_component_aud,operating_status,29,character varying,YES,'BUILT_IN'::character varying,255.0,,
public,asset_component_documents,documents_id,1,bigint,NO,,,64.0,0.0
public,asset_component_documents,asset_components_id,2,bigint,NO,,,64.0,0.0
public,asset_component_documents_aud,asset_components_id,1,bigint,NO,,,64.0,0.0
public,asset_component_documents_aud,documents_id,2,bigint,NO,,,64.0,0.0
public,asset_component_documents_aud,rev,3,bigint,NO,,,64.0,0.0
public,asset_component_documents_aud,revend,4,bigint,YES,,,64.0,0.0
public,asset_component_documents_aud,revtype,5,smallint,YES,,,16.0,0.0
public,asset_component_impacts,impacts_id,1,bigint,NO,,,64.0,0.0
public,asset_component_impacts,asset_components_id,2,bigint,NO,,,64.0,0.0
public,asset_component_impacts_aud,asset_components_id,1,bigint,NO,,,64.0,0.0
public,asset_component_impacts_aud,impacts_id,2,bigint,NO,,,64.0,0.0
public,asset_component_impacts_aud,rev,3,bigint,NO,,,64.0,0.0
public,asset_component_impacts_aud,revend,4,bigint,YES,,,64.0,0.0
public,asset_component_impacts_aud,revtype,5,smallint,YES,,,16.0,0.0
public,attribute,id,1,bigint,NO,,,64.0,0.0
public,attribute,name,2,character varying,NO,,255.0,,
public,attribute,created_on,3,timestamp without time zone,YES,,,,
public,attribute,ext_system,4,character varying,YES,,255.0,,
public,attribute,ext_object,5,character varying,YES,,255.0,,
public,attribute,ext_identifier,6,character varying,YES,,255.0,,
public,attribute,category,7,character varying,YES,,255.0,,
public,attribute,owning_facility_id,8,bigint,YES,,,64.0,0.0
public,attribute,created_by_id,9,bigint,YES,,,64.0,0.0
public,attribute,property_id,10,bigint,YES,,,64.0,0.0
public,attribute,unit_id,11,bigint,YES,,,64.0,0.0
public,attribute,created_by_user,12,character varying,YES,,50.0,,
public,attribute,created_date,13,timestamp without time zone,YES,now(),,,
public,attribute,last_modified_by,14,character varying,YES,,50.0,,
public,attribute,last_modified_date,15,timestamp without time zone,YES,,,,
public,attribute,model_id,16,bigint,YES,,,64.0,0.0
public,attribute,jhi_value_txt,17,text,YES,,,,
public,attribute,description_txt,18,text,YES,,,,
public,attribute,allowed_values_txt,19,text,YES,,,,
public,attribute_aud,id,1,bigint,NO,,,64.0,0.0
public,attribute_aud,name,2,character varying,YES,,255.0,,
public,attribute_aud,created_on,3,timestamp without time zone,YES,,,,
public,attribute_aud,ext_system,4,character varying,YES,,255.0,,
public,attribute_aud,ext_object,5,character varying,YES,,255.0,,
public,attribute_aud,ext_identifier,6,character varying,YES,,255.0,,
public,attribute_aud,category,7,character varying,YES,,255.0,,
public,attribute_aud,owning_facility_id,8,bigint,YES,,,64.0,0.0
public,attribute_aud,created_by_id,9,bigint,YES,,,64.0,0.0
public,attribute_aud,property_id,10,bigint,YES,,,64.0,0.0
public,attribute_aud,unit_id,11,bigint,YES,,,64.0,0.0
public,attribute_aud,rev,12,bigint,NO,,,64.0,0.0
public,attribute_aud,revend,13,bigint,YES,,,64.0,0.0
public,attribute_aud,revtype,14,smallint,NO,,,16.0,0.0
public,attribute_aud,created_by_user,15,character varying,YES,,50.0,,
public,attribute_aud,created_date,16,timestamp without time zone,YES,now(),,,
public,attribute_aud,last_modified_by,17,character varying,YES,,50.0,,
public,attribute_aud,last_modified_date,18,timestamp without time zone,YES,,,,
public,attribute_aud,jhi_value_txt,19,text,YES,,,,
public,attribute_aud,description_txt,20,text,YES,,,,
public,attribute_aud,allowed_values_txt,21,text,YES,,,,
public,background_task,id,1,bigint,NO,,,64.0,0.0
public,background_task,name,2,character varying,NO,,255.0,,
public,background_task,started,3,timestamp without time zone,YES,,,,
public,background_task,finished,4,timestamp without time zone,YES,,,,
public,background_task,state,5,character varying,NO,,255.0,,
public,bcf_bitmap,id,1,bigint,NO,,,64.0,0.0
public,bcf_bitmap,guid,2,character varying,YES,,255.0,,
public,bcf_bitmap,bitmap_type,3,character varying,NO,,255.0,,
public,bcf_bitmap,bitmap_data,4,text,NO,,,,
public,bcf_bitmap,height,5,numeric,NO,,,10.0,2.0
public,bcf_bitmap,location_id,6,bigint,NO,,,64.0,0.0
public,bcf_bitmap,normal_id,7,bigint,NO,,,64.0,0.0
public,bcf_bitmap,up_id,8,bigint,NO,,,64.0,0.0
public,bcf_bitmap,view_point_id,9,bigint,NO,,,64.0,0.0
public,bcf_clipping_plane,id,1,bigint,NO,,,64.0,0.0
public,bcf_clipping_plane,location_id,2,bigint,NO,,,64.0,0.0
public,bcf_clipping_plane,direction_id,3,bigint,NO,,,64.0,0.0
public,bcf_clipping_plane,view_point_id,4,bigint,NO,,,64.0,0.0
public,bcf_coloring,id,1,bigint,NO,,,64.0,0.0
public,bcf_coloring,color,2,character varying,NO,,255.0,,
public,bcf_coloring,container_id,3,bigint,NO,,,64.0,0.0
public,bcf_comment,id,1,bigint,NO,,,64.0,0.0
public,bcf_comment,guid,2,character varying,YES,,255.0,,
public,bcf_comment,comment,3,text,YES,,,,
public,bcf_comment,author,4,character varying,YES,,255.0,,
public,bcf_comment,date,5,timestamp without time zone,YES,,,,
public,bcf_comment,modified_date,6,timestamp without time zone,YES,,,,
public,bcf_comment,modified_author,7,character varying,YES,,255.0,,
public,bcf_comment,view_point_id,8,bigint,YES,,,64.0,0.0
public,bcf_comment,topic_id,9,bigint,NO,,,64.0,0.0
public,bcf_comment_event,id,1,bigint,NO,,,64.0,0.0
public,bcf_comment_event,bitmap_type,2,character varying,NO,,255.0,,
public,bcf_comment_event,jhi_value,3,character varying,YES,,255.0,,
public,bcf_comment_event,container_id,4,bigint,NO,,,64.0,0.0
public,bcf_comment_event_container,id,1,bigint,NO,,,64.0,0.0
public,bcf_comment_event_container,author,2,character varying,NO,,255.0,,
public,bcf_comment_event_container,date,3,timestamp without time zone,NO,,,,
public,bcf_comment_event_container,comment_id,4,bigint,NO,,,64.0,0.0
public,bcf_component,id,1,bigint,NO,,,64.0,0.0
public,bcf_component,ifc_guid,2,character varying,YES,,255.0,,
public,bcf_component,originating_system,3,character varying,YES,,255.0,,
public,bcf_component,authoring_tool_id,4,character varying,YES,,255.0,,
public,bcf_component,container_id,5,bigint,YES,,,64.0,0.0
public,bcf_component,coloring_id,6,bigint,YES,,,64.0,0.0
public,bcf_component,visibility_id,7,bigint,YES,,,64.0,0.0
public,bcf_components_container,id,1,bigint,NO,,,64.0,0.0
public,bcf_components_container,view_point_id,2,bigint,NO,,,64.0,0.0
public,bcf_direction,id,1,bigint,NO,,,64.0,0.0
public,bcf_direction,x,2,numeric,NO,,,10.0,2.0
public,bcf_direction,y,3,numeric,NO,,,10.0,2.0
public,bcf_direction,z,4,numeric,NO,,,10.0,2.0
public,bcf_document,id,1,bigint,NO,,,64.0,0.0
public,bcf_document,guid,2,character varying,NO,,255.0,,
public,bcf_document,document_guid,3,character varying,YES,,255.0,,
public,bcf_document,file_name,4,character varying,NO,,255.0,,
public,bcf_document,project_id,5,bigint,NO,,,64.0,0.0
public,bcf_document_reference,id,1,bigint,NO,,,64.0,0.0
public,bcf_document_reference,guid,2,character varying,YES,,255.0,,
public,bcf_document_reference,document_guid,3,character varying,YES,,255.0,,
public,bcf_document_reference,description,4,character varying,YES,,255.0,,
public,bcf_document_reference,url,5,character varying,YES,,255.0,,
public,bcf_document_reference,topic_id,6,bigint,NO,,,64.0,0.0
public,bcf_file,id,1,bigint,NO,,,64.0,0.0
public,bcf_file,ifc_project,2,character varying,YES,,255.0,,
public,bcf_file,file_name,3,character varying,YES,,255.0,,
public,bcf_file,reference,4,character varying,YES,,255.0,,
public,bcf_file,topic_id,5,bigint,NO,,,64.0,0.0
public,bcf_line,id,1,bigint,NO,,,64.0,0.0
public,bcf_line,start_point_id,2,bigint,NO,,,64.0,0.0
public,bcf_line,end_point_id,3,bigint,NO,,,64.0,0.0
public,bcf_line,view_point_id,4,bigint,NO,,,64.0,0.0
public,bcf_orthogonal_camera,id,1,bigint,NO,,,64.0,0.0
public,bcf_orthogonal_camera,view_to_world_scale,2,numeric,NO,,,10.0,2.0
public,bcf_orthogonal_camera,aspect_ratio,3,numeric,NO,,,10.0,2.0
public,bcf_orthogonal_camera,camera_view_point_id,4,bigint,NO,,,64.0,0.0
public,bcf_orthogonal_camera,camera_direction_id,5,bigint,NO,,,64.0,0.0
public,bcf_orthogonal_camera,camera_up_vector_id,6,bigint,NO,,,64.0,0.0
public,bcf_orthogonal_camera,view_point_id,7,bigint,NO,,,64.0,0.0
public,bcf_perspective_camera,id,1,bigint,NO,,,64.0,0.0
public,bcf_perspective_camera,field_of_view,2,numeric,NO,,,10.0,2.0
public,bcf_perspective_camera,aspect_ratio,3,numeric,NO,,,10.0,2.0
public,bcf_perspective_camera,camera_view_point_id,4,bigint,NO,,,64.0,0.0
public,bcf_perspective_camera,camera_direction_id,5,bigint,NO,,,64.0,0.0
public,bcf_perspective_camera,camera_up_vector_id,6,bigint,NO,,,64.0,0.0
public,bcf_perspective_camera,view_point_id,7,bigint,NO,,,64.0,0.0
public,bcf_point,id,1,bigint,NO,,,64.0,0.0
public,bcf_point,x,2,numeric,NO,,,10.0,2.0
public,bcf_point,y,3,numeric,NO,,,10.0,2.0
public,bcf_point,z,4,numeric,NO,,,10.0,2.0
public,bcf_project,id,1,bigint,NO,,,64.0,0.0
public,bcf_project,project_id,2,character varying,NO,,255.0,,
public,bcf_project,name,3,character varying,NO,,255.0,,
public,bcf_project,owning_facility_id,4,bigint,NO,,,64.0,0.0
public,bcf_project_extensions,id,1,bigint,NO,,,64.0,0.0
public,bcf_project_extensions,project_id,2,bigint,NO,,,64.0,0.0
public,bcf_project_extensions_priorities,bcf_project_extensions_id,1,bigint,NO,,,64.0,0.0
public,bcf_project_extensions_priorities,priority,2,character varying,YES,,255.0,,
public,bcf_project_extensions_snippet_types,bcf_project_extensions_id,1,bigint,NO,,,64.0,0.0
public,bcf_project_extensions_snippet_types,snippet_type,2,character varying,YES,,255.0,,
public,bcf_project_extensions_stages,bcf_project_extensions_id,1,bigint,NO,,,64.0,0.0
public,bcf_project_extensions_stages,stage,2,character varying,YES,,255.0,,
public,bcf_project_extensions_topic_labels,bcf_project_extensions_id,1,bigint,NO,,,64.0,0.0
public,bcf_project_extensions_topic_labels,topic_label,2,character varying,YES,,255.0,,
public,bcf_project_extensions_topic_status,bcf_project_extensions_id,1,bigint,NO,,,64.0,0.0
public,bcf_project_extensions_topic_status,topic_status,2,character varying,YES,,255.0,,
public,bcf_project_extensions_topic_types,bcf_project_extensions_id,1,bigint,NO,,,64.0,0.0
public,bcf_project_extensions_topic_types,topic_type,2,character varying,YES,,255.0,,
public,bcf_project_extensions_users,bcf_project_extensions_id,1,bigint,NO,,,64.0,0.0
public,bcf_project_extensions_users,jhi_user,2,character varying,YES,,255.0,,
public,bcf_snapshot,id,1,bigint,NO,,,64.0,0.0
public,bcf_snapshot,snapshot_type,2,character varying,NO,,255.0,,
public,bcf_snapshot,snapshot_data,3,text,NO,,,,
public,bcf_snapshot,view_point_id,4,bigint,NO,,,64.0,0.0
public,bcf_snippet,id,1,bigint,NO,,,64.0,0.0
public,bcf_snippet,snippet_type,2,character varying,NO,,255.0,,
public,bcf_snippet,is_external,3,boolean,NO,,,,
